id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
108,126187.jpg,Loftus-Cheek,31,a,126187,Ruben,Loftus-Cheek,8,,45,100,100,0.2,1.8,0,0,0,0,,0,7.2,1.0,278955,119460,5189,6043,0,0,0,0,8,2,2.0,0.0,0.0,,347,0,0,0,10,0,0,0,0,0,0,0,61,58.8,71.7,67.0,19.8,0,3,6
109,49579.jpg,Pedro,8,a,49579,Pedro,"Rodríguez Ledesma",11,,79,100,100,0.4,2.3,-1,0,1,0,,0,1.5,3.5,126919,47975,2095,5619,0,0,0,0,18,8,3.6,5.0,4.0,,260,1,1,2,2,0,0,0,0,0,0,0,50,62.8,62.9,77.0,20.4,0,3,5
110,167767.jpg,Kenedy,8,a,167767,"Robert Kenedy","Nunes do Nascimento",16,,48,,,0.0,0.0,-2,0,2,0,,0,0.0,0.0,1664,462,63,41,0,0,0,0,0,0,0.0,1.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,5
111,116594.jpg,Kanté,8,a,116594,N'Golo,Kanté,7,,51,,,0.9,4.3,1,0,-1,0,,0,20.5,4.5,271340,369415,19963,24956,0,0,0,0,22,2,3.7,6.0,5.0,,540,1,0,3,5,0,0,0,1,0,0,3,131,154.2,124.2,46.0,32.5,0,3,5
112,89085.jpg,Chalobah,57,d,89085,Nathaniel,Chalobah,14,"Knee injury - 75% chance of playing",45,,75,0.4,2.7,0,0,0,0,,0,3.2,2.0,69345,122610,7772,1010,0,0,0,0,12,0,2.4,2.0,1.5,,429,0,0,3,7,0,0,0,1,0,0,0,37,77.4,26.0,93.0,19.6,0,3,18
113,94245.jpg,Batshuayi,8,a,94245,Michy,Batshuayi,23,,81,,,0.0,0.1,-4,0,4,0,,0,0.5,0.3,62119,4345,908,260,0,0,0,0,1,0,0.3,1.8,0.8,,81,0,0,0,4,1,0,0,0,0,0,0,1,4.4,9.7,27.0,4.1,0,4,5
114,18507.jpg,Costa,8,a,18507,Diego,"Da Silva Costa",19,,95,,,0.0,0.0,-5,0,5,0,,0,0.5,0.0,59368,2114,765,109,0,0,0,0,0,0,0.0,1.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5
115,20066.jpg,Hennessey,31,a,20066,Wayne,Hennessey,13,,45,,,0.4,4.0,0,0,0,0,,0,1.3,1.8,33152,19505,1436,124,0,0,0,0,18,1,3.0,0.8,0.8,,540,0,0,0,13,0,0,0,0,0,25,3,108,171.0,0.0,0.0,17.1,0,1,6
116,11554.jpg,Speroni,31,a,11554,Julian,Speroni,1,,40,,,0.0,0.0,0,0,0,0,,0,2.1,0.0,20624,13221,683,1002,0,0,0,0,0,0,0.0,-1.0,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6
117,49413.jpg,Tomkins,31,a,49413,James,Tomkins,5,,44,100,100,0.1,0.9,-1,0,1,0,,0,0.7,0.3,40781,3363,875,35,0,0,0,0,4,0,1.3,-0.7,-0.7,,142,0,0,0,2,0,0,0,0,0,0,0,16,17.4,0.9,9.0,2.7,0,2,6
